Classifier,Accuracy,Precision,Recall,F-Measure,AUC,Kappa,NPofB20
RandomForest,90,94,0,9038,0,6985,0,7879,0,9443,0,7314,0,8754
NaiveBayes,77,76,0,5247,0,8481,0,6481,0,8821,0,4986,0,7350
IBk,86,47,0,7670,0,6308,0,6921,0,8452,0,6065,0,7625
